Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000059246,Foxb1,0.0016757499057052688,-2.6523831957823205,0.00000000000000000000000000004441120958892983,0.01413514068334215,3.0470064525887635,0.0000000000000000000000000000000000342093560203625,0.0019612122803494107,-0.9912400894383051,0.08136313151435198
ENSMUSG00000050295,Foxc1,0.004531364540937717,-5.935048637412654,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003491270745474841,0.01453708781177842,-2.646035155131923,0.000000000000000000000000008584839364343769,0.9216063374075273,7.130044666145224,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000229259064876
ENSMUSG00000046714,Foxc2,0.0012311631960283608,-6.7129205076286,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015300849929619753,0.002880621087126599,-3.870528129214426,0.000000000000000000000000000000000002250406793769584,0.44323397535896686,8.132136934849136,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010339309601387
ENSMUSG00000078302,Foxd1,0.0008036759751851799,-5.381275489412845,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008501971590001434,0.0023446915825449063,-2.2322729724660606,0.0000000000002956007589534271,0.11178909997991641,6.629365344195806,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007221215467877466
ENSMUSG00000055210,Foxd2,0.0012311631960283608,-4.790371888843903,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015119501595402936,0.0030146034632720226,-1.9213568928359805,0.000000000051201447495000934,0.11129879690982906,6.115429477357171,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001031860376721038
ENSMUSG00000067261,Foxd3,0.00029069131017336295,-0.304459892362015,0.8567662798069512,0.0004019471284362697,0.6729292729896876,0.5251338115199692,0.00016343435669578425,-0.0005179030263153805,1
ENSMUSG00000042812,Foxf1,0.0008036759751851799,-4.084179247505419,0.000000000000000000000000000000000000000000000000000001671825190304251,0.000870885444945251,-2.4322900390648092,0.00000000607495677072009,0.0455981855181238,5.782990277076921,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000202934710747019
ENSMUSG00000020950,Foxg1,0.7395186930810353,1.0771757406808375,0.0000000012604492593836594,0.4340359075230985,-0.6547151408565903,0.0014449145371413258,0.14660061795611845,-2.206754555971722,0.0000000003589055548898563
ENSMUSG00000033837,Foxh1,0.0005300841538455442,-0.7963129886916889,0.12270493493368591,0.0010718590091633859,1.0716816886810427,0.05715974699740361,0.0004903030700873527,-0.0005179030263153805,1
ENSMUSG00000047861,Foxi1,0.0005642831315129987,1.2911498525586502,0.06416811201973359,0.00020097356421813485,-1.0157811525692964,0.20896642086207468,0.00016343435669578425,-0.6250087679341085,0.6472943124533913
ENSMUSG00000048377,Foxi2,0.00027359182133963574,-1.386922052553988,0.038116530797408316,0.0010048678210906742,2.02603902312533,0.0019330428161067903,0,-1.4155554023051593,0.31479389910897204
ENSMUSG00000034227,Foxj1,0.014637162441670511,-4.128908132640094,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007282046995725091,0.31291583948763596,3.6767047708973166,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006714258495408013,0.11832647424774778,0.6537398822088791,0.018929695639830428
ENSMUSG00000003154,Foxj2,0.125818038838565,-0.230397400647409,0.19055435361893805,0.14208830990222132,0.13818736277066934,0.521227578061226,0.1609828413453475,0.3192170902871312,0.29770541246306914
ENSMUSG00000032998,Foxj3,0.12345830937951062,0.4054887071720885,0.024791676643667614,0.08943323607707,-0.44071932801330815,0.038154516913124326,0.10230990729156093,-0.18595453666816475,0.7074459412130234
ENSMUSG00000050397,Foxl2,0.001470556039700542,-3.8611641330416564,0.00000000000000000000000000000000000000000000000000000000000000020851006925926544,0.0032155770274901576,-1.2172321278870326,0.0001381016155387722,0.0663543488184884,5.176513984910256,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004068844183616092
ENSMUSG00000001517,Foxm1,0.002496525369724176,-1.947137890939457,0.000000000000000014305173900685084,0.010316642963197589,1.7749164255347,0.0000000000006418118964994717,0.008008283478093427,0.9946811107098634,0.009605998783084518
ENSMUSG00000002057,Foxn1,0.0004616861985106353,0.5256151061956729,0.40581119025095475,0.0004019471284362697,0.11350186437566911,1,0,-1.5030182435554984,0.27706158147042986
ENSMUSG00000042002,Foxn4,0.00037618875434199914,-0.2727510326346767,0.745902528237544,0.0005359295045816929,0.6984643650968252,0.4507957235610065,0.00016343435669578425,-0.3697517126920342,0.8134596763223123
ENSMUSG00000044167,Foxo1,0.0945601732505116,-1.7668525385825582,0.0000000000000000000000000000024027820452972337,0.28236785772647943,1.17341537037831,0.00000000002344707536537471,0.4180650844278161,1.6552145225419714,0.00000000000257500698093605
ENSMUSG00000048756,Foxo3,0.1800747169079815,-0.06863223281734321,0.7116212537189884,0.1765217805715951,-0.0575173313101347,0.8282237268342142,0.2188386036156551,0.2878228274591761,0.35084203341099135
ENSMUSG00000042903,Foxo4,0.005454736937958987,-2.2399196401673027,0.000000000000000000000000000001525731034256507,0.023982845330030755,1.621202320559564,0.000000000000033097617591778434,0.030235355988720083,1.7184619456665287,0.0000000029687571689915597
ENSMUSG00000030067,Foxp1,0.5821349978554099,0.4469860097546908,0.011530117822601011,0.23118659003892778,-1.40580182802189,0.000000000023184315600536638,0.9047725986678615,0.8248843247462123,0.0017046555074534577
ENSMUSG00000029563,Foxp2,0.10627332310161475,1.1091857157901583,0.0000000015499529102295901,0.0300120522565748,-1.8080939265465679,0.0000000000000012503968435308767,0.09609940173712113,0.08439573615975382,0.7406390893878002
ENSMUSG00000039521,Foxp3,0.0005984821091804531,0.2361084890006886,0.9371044984292735,0.0006699118807271162,0.40300848157065516,0.6200729330468765,0,-1.9391173583621715,0.6367036110476886
ENSMUSG00000023991,Foxp4,0.28778439707162934,0.47698554024652995,0.007202016248022143,0.1545486708837457,-0.918259650966013,0.000009152464270986893,0.334059825086183,0.3581772758602879,0.23048051123949617
ENSMUSG00000045551,Fpr1,0.0003590892655082719,-2.538515231224041,0.00000000031684647927004814,0.0007369030687998277,-0.10889055696077854,0.9157441989052528,0.005556768127656664,3.6693334952813537,0.0000000000000030774785573256916
ENSMUSG00000052270,Fpr2,0.004001280387092173,0.9102789564309992,0.0016917876334920357,0.001741770889890502,-1.1146042081551721,0.0015574293501532715,0.002941818420524116,-0.19553388543145722,0.8054056305315349
ENSMUSG00000034687,Fras1,0.09115737497259987,2.1713665510588087,0.0000000000000000000000000006518562780684615,0.013800184742978592,-2.6315431558865865,0.000000000000000000000000002317456102179902,0.03579212411637675,-1.0693450271474298,0.0022943383730023516
ENSMUSG00000019779,Frk,0.0008378749528526344,-4.445238548144809,0.0000000000000000000000000000000000000000000000000000000000000000000000000012674233542034223,0.0014738061375996554,-2.073742613266668,0.000000004690108265459138,0.060307277620744386,5.9459010567688395,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040249819075681825
ENSMUSG00000036131,Frmd7,0.007130486843664256,-0.643542708288444,0.0023310279822968665,0.01493903494021469,1.1760229489337286,0.0000001632238124440268,0.0017977779236536266,-2.154773448202744,0.000025539010090194865
ENSMUSG00000035615,Frmpd1,0.05239283378654024,-1.386068656721089,0.000000000000000003462386791012795,0.167946908498288,1.657630647588249,0.0000000000000000000010348808064288658,0.061287883760919086,-0.30494609322877464,0.4739095865380049
ENSMUSG00000033386,Frrs1,0.0034882957220803553,-2.1032438244382883,0.00000000000000000000000058702115680717665,0.016479832265887055,1.9585812875483253,0.0000000000000000002974968330818052,0.011440404968704897,0.9172080939441418,0.007001810888929684
ENSMUSG00000045589,Frrs1l,1.252965044291363,2.6450090856640984,0.0000000000000000000000000000000000000000017919872584332988,0.21845826430511256,-2.3946718173037427,0.000000000000000000000000009628661933867658,0.15591637628777816,-2.740068212120491,0.000000000000011925247277660213
ENSMUSG00000020170,Frs2,0.21039211061017987,-0.14304660629840038,0.4522301278210118,0.2302487134059098,0.11297741962785146,0.6188977760607114,0.23730668592227872,0.14693236081710648,0.6688256009756874
ENSMUSG00000070733,Fryl,0.18997532094270955,-1.058957810372373,0.000000000021164244444014822,0.4121297890233218,1.0026312164290239,0.00000001562673113938276,0.35596002888341804,0.5984994984159793,0.03116936879422916
ENSMUSG00000027004,Frzb,0.09379069625299387,1.7159328323327658,0.0000000000000000003214756680787758,0.025456651467630414,-1.7911149797127273,0.0000000000000024172785454788133,0.03595555847307253,-1.1458141986706836,0.0010287664981626363
ENSMUSG00000029581,Fscn1,1.5478286297401553,0.04895793332715637,0.817022937083193,1.9552718062782337,0.4444104402090282,0.019037024095472435,0.3762258891136953,-2.1154046988947783,0.0000000004704672219370437
ENSMUSG00000025380,Fscn2,0.0029582115682348113,0.2961332600729065,0.35283363682542546,0.0015407973256723671,-0.952587326082103,0.011579430166864132,0.004412727630786174,0.7697477002960689,0.0882422099435793
ENSMUSG00000027120,Fshb,0.0004103877320094536,0.584508795249242,0.473271975374303,0.00020097356421813485,-0.6413856377877991,0.4375088203997635,0.0003268687133915685,0.36205217635839304,1
ENSMUSG00000032937,Fshr,0.0003419897766745447,1.3329700282532766,0.12479335628389472,0.00006699118807271162,-1.3459297542616273,0.15712149381789295,0.00016343435669578425,0.12501297905754427,1
ENSMUSG00000021765,Fst,0.03342950066993674,3.459305761147907,0.00000000000000000000000000000000000000000000339246830527396,0.0030146034632720226,-3.3098424540237135,0.0000000000000000000000000000011202968482070368,0.002941818420524116,-3.134133340767314,0.0000000000025560092525575484
ENSMUSG00000022816,Fstl1,0.17670611760773722,-0.8782818354779696,0.00000004488577258950048,0.16540124335152498,-0.4599276154514427,0.028767454033557516,0.7137178356904897,2.032894777069112,0.0000000000000000003034983099767555
ENSMUSG00000036264,Fstl4,0.4858477762326919,3.423597024026196,0.000000000000000000000000000000000000000000000000000000000000007788056060207343,0.04883657610500677,-3.1803382258026005,0.0000000000000000000000000000000000000005118500620139907,0.03644586154315989,-3.439062256840714,0.0000000000000000004773060509410963
ENSMUSG00000034098,Fstl5,0.11094148355322228,2.2351992464919337,0.000000000000000000000000000013256332743124078,0.028873202059338705,-1.809550449851002,0.0000000000000010692128173615576,0.010459798828530192,-3.149743911800792,0.000000000000002286218445877556
ENSMUSG00000035491,Fthl17a,0.0003419897766745447,0.5960044340870709,0.4312927242239014,0.00020097356421813485,-0.3459297542616273,0.6864060250048636,0.00016343435669578425,-0.0005179030263153805,1
ENSMUSG00000055932,Fto,0.7404762644557241,0.07484400646347478,0.7081518724497031,0.7250456285109578,-0.013433397712873274,0.9836497220691751,0.6493246991523508,-0.1832667068494772,0.6423325999037949
ENSMUSG00000031171,Ftsj1,0.07865764863514527,-0.37072223308659114,0.03130747810816747,0.10711890972826586,0.4292441593167391,0.028488500154869797,0.08841798697241927,0.06854113888711266,0.7783495107260437
ENSMUSG00000028034,Fubp1,0.3258136602378387,-0.004276306631586513,0.9811541375284114,0.31130805097389086,-0.08165325188887107,0.7432569649668214,0.36445861543159885,0.17519821598573548,0.585639424685303
ENSMUSG00000025040,Fundc1,0.34263955725022627,-0.13058554903609476,0.4682767479684151,0.38680711993183686,0.1735019396657167,0.40328261531838816,0.3464808361950626,-0.020836698252131525,1
ENSMUSG00000030530,Furin,0.17219185255563324,-0.8984191841870055,0.00000001908868993993215,0.21859224668125798,0.058538503307029366,0.7896868373694119,0.5707127735816786,1.6518735133126765,0.000000000002338174732121914
ENSMUSG00000030795,Fus,0.6747629288677103,0.183228057926216,0.3233353856025967,0.576325190989538,-0.21998308355402985,0.3164773874523005,0.6380477285403416,-0.03714768260302681,0.9703710420348025
ENSMUSG00000008461,Fut1,0.0007181785310165438,0.49244824226047434,0.3568249393828207,0.0004019471284362697,-0.633732065244363,0.31184060573227573,0.000653737426783137,0.291662848466995,0.8704918291263848
ENSMUSG00000049307,Fut4,0.00271881872456263,-0.6760187549739776,0.009657126594347424,0.002947612275199311,-0.08813199679397954,0.8455939277832758,0.007681414764701859,1.4969817564445007,0.00004537515487935271
ENSMUSG00000070583,Fv1,0.08341130653092144,0.15410338410824265,0.4288658444898749,0.07449420113685531,-0.14996455075642245,0.5281091654305254,0.07599697586353966,-0.09995037581600785,0.8938609253877876
ENSMUSG00000059363,Fxn,0.005557333870961351,-0.5350476757109508,0.015677199951870693,0.008172924944870817,0.5129845494596719,0.04172210102374214,0.007681414764701859,0.36205217635839215,0.3742263481176822
ENSMUSG00000027680,Fxr1,0.18169916834718558,-0.5905407391312618,0.0003167788614661558,0.2821668841622613,0.5827369255737334,0.0017973014720782722,0.2526695154516824,0.32259582755831184,0.28714107766488794
